127.0.0.1 - - [16/Sep/2024:21:05:07 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:05:08 +0530] "GET /ServletCookie/ HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:05:08 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:05:11 +0530] "GET /ServletCookie/register.html HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:05:30 +0530] "GET /ServletCookie/RegisterServlet?name=rohit&email=jbj%40mail.com&mobile=8765343&password=dgbjjb HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:05:37 +0530] "GET /ServletCookie/LoginServlet HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:06:00 +0530] "GET /ServletCookie/LoginServlet HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:06:01 +0530] "GET /ServletCookie/LoginServlet HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:06:01 +0530] "GET /ServletCookie/LoginServlet HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:06:01 +0530] "GET /ServletCookie/LoginServlet HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:06:04 +0530] "GET /ServletCookie/LoginServlet HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:06:04 +0530] "GET /ServletCookie/LoginServlet HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:06:09 +0530] "GET /ServletCookie/LoginServlet HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:06:10 +0530] "GET /ServletCookie/LoginServlet HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:06:32 +0530] "GET /ServletCookie/RegisterServlet?name=ram&email=jbvbj%40mail.com&mobile=8765343446&password=dgbjjb HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:06:40 +0530] "GET /ServletCookie/LoginServlet HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:06:54 +0530] "GET /ServletCookie/LoginServlet HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:07:24 +0530] "GET /ServletCookie/RegisterServlet?name=rohit&email=dsdgjbvbj%40mail.com&mobile=87656343446&password=dgbjjbr HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:07:26 +0530] "GET /ServletCookie/LoginServlet HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:08:19 +0530] "GET /ServletCookie/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:08:20 +0530] "GET /ServletCookie/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:08:20 +0530] "GET /ServletCookie/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:08:20 +0530] "GET /ServletCookie/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:08:20 +0530] "GET /ServletCookie/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:08:21 +0530] "GET /ServletCookie/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:08:21 +0530] "GET /ServletCookie/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:08:21 +0530] "GET /ServletCookie/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:08:21 +0530] "GET /ServletCookie/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:08:22 +0530] "GET /ServletCookie/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:08:22 +0530] "GET /ServletCookie/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:08:45 +0530] "GET /ServletCookie/RegisterServlet?name=Ravi&email=ravi%40gmail.com&mobile=9876543214&password=Ravi123 HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:08:47 +0530] "GET /ServletCookie/LoginServlet HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:09:24 +0530] "GET /ServletCookie/RegisterServlet?name=Radha&email=radha%40gmail.com&mobile=9876543214&password=radha123 HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:09:27 +0530] "GET /ServletCookie/LoginServlet HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:18:51 +0530] "GET /ServletCookie/RegisterServlet?name=Vivek&email=vivek%40mail.com&mobile=9876543213&password=vivek123 HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:29:28 +0530] "GET /ServletCookie/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:29:28 +0530] "GET /ServletCookie/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:29:28 +0530] "GET /ServletCookie/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:29:28 +0530] "GET /ServletCookie/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:29:28 +0530] "GET /ServletCookie/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:29:59 +0530] "GET /ServletCookie/RegisterServlet?name=aakash&email=aakash%40mail.com&mobile=56453&password=aakah HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:30:14 +0530] "GET /ServletCookie/LoginServlet HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:38:21 +0530] "GET /ServletCookie/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:38:21 +0530] "GET /ServletCookie/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:38:21 +0530] "GET /ServletCookie/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:38:22 +0530] "GET /ServletCookie/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:38:22 +0530] "GET /ServletCookie/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:21:38:22 +0530] "GET /ServletCookie/register.html HTTP/1.1" 304 -
